commit	variant	teacher	student	env_version	steps	task_reward_E	forgetting_score	kl_to_teacher	vs_teacher_gap	status	notes
c598d8d	student_rl_tuned_seed2	none	Qwen/Qwen3-4B-Instruct-2507	countdown-v1	30	0.386		n/a	-0.011	keep	iter09: seed-2 of iter06 tuned RL (LR=1e-5, gs=8, no OPD warmstart). Last-10 mean correct=44.1% reward=0.386, peak=61.7% at step 1, final step 29=45.3%. vs iter06 seed=0 (45.6%): replicates. Seed-2 OPD-then-RL minus tuned-RL gap = 58.4% - 44.1% = +14.3pp (vs seed-0 gap +9.7pp). +10pp OPD-then-RL gain robust across seeds.
873e233	student_opd_then_rl_60	Qwen/Qwen3-30B-A3B-Instruct-2507	Qwen/Qwen3-4B-Instruct-2507	countdown-v1	60	0.682		n/a	+0.285	keep	iter10: 60-step OPD-then-RL (LR=1e-5, gs=8, OPD warmstart from 43426da0). Per-decade mean correct: 45/54/56/61/71/71 — clear monotonic gain, stabilizing in last 20 steps. Last-10 mean=71.1%, peak=83.6% at step 45, final=60.2%. vs_teacher_gap +0.285. SHOWS 30-step iter07 (55.3%) was NOT the asymptote; doubling budget gives +16pp.
74e5c86	student_rl_tuned_60	none	Qwen/Qwen3-4B-Instruct-2507	countdown-v1	60	0.594		n/a	+0.197	keep	iter12: 60-step TUNED RL from scratch (LR=1e-5 gs=8, NO OPD warmstart). Per-decade mean correct: 36/40/44/50/54/63 — climbing monotonically, still rising in last decade. Last-10 mean=63.0%, peak=68.8% at step 44, final=64.1%. Apples-to-apples vs iter10 OPD-then-RL (71.1%): gap is +8.1pp in OPD's favor (vs +25pp unfair 30vs60 comparison). OPD warmstart's advantage shrinks but does NOT close at matched budget.
839fa0a	env_probe_v2	Qwen/Qwen3-30B-A3B-Instruct-2507	Qwen/Qwen3-4B-Instruct-2507	countdown-v2	0	-0.034	—	—	—	discard	Probe: countdown-v2 = 6 sources, max_source=50, max_target=1000. Teacher correct 6.25% (<25% gate) — too hard, even teacher can't solve consistently. Discard env.
839fa0a	env_probe_v2a	Qwen/Qwen3-30B-A3B-Instruct-2507	Qwen/Qwen3-4B-Instruct-2507	countdown-v2a	0	0.072	—	—	—	discard	Probe: 5 sources, max_source=30, max_target=300. Teacher correct 15.6% (<25%) — borderline, prefer v2b.
839fa0a	env_probe_v2b_teacher	Qwen/Qwen3-30B-A3B-Instruct-2507	Qwen/Qwen3-30B-A3B-Instruct-2507	countdown-v2b	0	0.244	—	—	0.000	keep	Probe: countdown-v2b = 5 sources, max_source=25, max_target=200, max_tokens=1024. Teacher correct 31.25%. PASSES teacher gate (≥25%).
839fa0a	env_probe_v2b_student	—	Qwen/Qwen3-4B-Instruct-2507	countdown-v2b	0	0.047	—	—	-0.197	keep	Probe: student zero-shot on v2b. correct 12.5%, format 12.5%. Borderline cold (gate ≤10%) but close. Selected v2b for full experiments.
839fa0a	env_probe_v2d	Qwen/Qwen3-30B-A3B-Instruct-2507	Qwen/Qwen3-4B-Instruct-2507	countdown-v2d	0	0.106	—	—	—	discard	Probe: 6 sources, max_source=25, max_target=200. Teacher 18.75% (<25%), student 15.6% — teacher gate failed AND student-teacher gap collapses.
590dd9d	student_rl_tuned_v2b	none	Qwen/Qwen3-4B-Instruct-2507	countdown-v2b	30	0.259		n/a	-0.138	keep	iter14: tuned RL 30 steps on countdown-v2b (5 src, max_source=25, max_target=200, max_tokens=1024). Last-10 mean correct=32.4%, peak=46.1% at step 5, step-0=28.1% correct frac_all_bad=31%. ENV NOT COLD — RL has signal and learns. Probe at group_size=1 (12.5%) under-counted student capability vs group_size=8 (28%). Need harder env.
0f3433e	env_probe_v2_gs8	—	Qwen/Qwen3-4B-Instruct-2507	countdown-v2	0	—	—	—	—	keep	Re-probe of countdown-v2 (6src/max50/max_target1000) at TRAINING group_size=8. Student step-0: correct=17.2%, frac_all_bad=50%, frac_all_good=0%. Colder than v2b but not extreme; 50% of groups still have some signal.
001326c	student_rl_tuned_v2	none	Qwen/Qwen3-4B-Instruct-2507	countdown-v2	30	0.082		n/a	-0.315	keep	iter15: tuned RL 30 steps on countdown-v2 (6src/max50/max_target1000 max_tokens=1024). Last-10 mean correct=16.5%, peak=23.4% at step 17, step-0=18.0%. frac_all_bad bouncing 25-80%. RL barely moves from step-0 floor — V2 IS COLD-START env. RL has too little signal to learn effectively.
560083f	student_opd_v2_partial	Qwen/Qwen3-30B-A3B-Instruct-2507	Qwen/Qwen3-4B-Instruct-2507	countdown-v2	27	0.035		0.10	-0.362	keep	iter16: 30-step OPD on countdown-v2 (cold env, 6src/max50/max_target1000). RAN 27/30 steps before hanging (Tinker API contention with parallel teacher-gen). Last-10 mean correct=12.4%. STRIKING: OPD on this cold env is WORSE than iter15 tuned-RL (16.5%) — when teacher itself is weak (~17% pass@8), OPD's KL signal can't lift the student. Teacher_kl=0.10. Periodic checkpoint at step 20 (c4700c17-...weights/000020) used for iter17.
644455d	student_opd_then_rl_v2	Qwen/Qwen3-30B-A3B-Instruct-2507	Qwen/Qwen3-4B-Instruct-2507	countdown-v2	30	-0.001		n/a	-0.398	keep	iter17: OPD-warmstart-then-RL on countdown-v2 (load OPD step-20 ckpt, 30 steps tuned RL). Last-10 mean correct=9.1%, peak=32% step 17, trajectory declines after step 20. WORSE than both iter15 RL-only (16.5%) and iter16 OPD-only (12.4%). Cold-start env (frac_all_bad bouncing 30-75%) provides degenerate RL gradient that degrades the OPD warmstart instead of building on it. Inverts the v1 finding completely.
