commit	accuracy	cadence	test_nll	training_records	status	description
ae2d2cc	0.6580	0:4,2:2,3:149,4:256,5:66,6:10,7:3,8:10	0.225	4687	discard	0018 mask-thinking: cadence exploded to 4-call median; -8.2pp
b109c68	0.7060	0:149,1:254,2:87,3:10	-	2302	discard	0019 early-stop-step-80: 0011 mid-training checkpoint underperforms final (0.706 vs 0.740)
cd53c55	0.7740	0:224,1:203,2:35,3:15,4:6,5:2,6:5,8:10	-	0	keep	0020 prompt-only no-SFT BEATS all SFT (0.774 > 0.740); MAJOR result
613a6af	0.7640	0:287,1:131,2:30,3:14,4:13,5:3,6:3,7:3,8:16	-	0	discard	0021 minimal-description prompt-only: shorter desc hurts (0.764 < 0020 0.774)
6545d41	0.7920	0:395,1:57,2:33,3:3,4:6,5:2,6:1,8:2,10:1	-	0	keep	0022 prompt-only + sparing system prompt: +1.8pp over 0020; new best at 0.7920
ed74cad	0.7880	0:439,1:35,2:17,3:5,4:2,8:2	-	0	discard	0023 optional-tool prompt: more suppression dropped acc to 0.788 (vs 0022 0.792)
a1f1a51	0.7980	0:412,1:58,2:12,3:11,4:3,5:2,8:2	-	0	keep	0024 directive in user message: new best 0.798 (+0.6pp over 0022)
25421da	0.7920	0:447,1:33,2:13,3:5,5:1,6:1	-	0	discard	0025 system+user reinforce: redundancy hurt slightly (0.792 < 0024 0.798)
8f964f4	0.7800	0:416,1:48,2:19,3:9,5:4,6:2,7:1,8:1	-	0	discard	0026 concrete-example in description: -1.8pp (verbose hurt)
ecd0d34	0.7780	0:234,1:181,2:48,3:16,4:7,5:6,6:2,7:1,8:5	-	0	discard	0027 shorter-directive: less suppression, -2pp (0.778 < 0024 0.798)
9ae6978	0.4820	0:500	0.368	100	discard	0028 tiny-sft-100: catastrophic; 100% 0-call AND accuracy 0.482 (under-trained adapter)
95fb174	0.7800	0:361,1:95,2:25,3:7,4:7,5:1,6:2,7:1,8:1	-	0	discard	0029 note-to-self name: -1.8pp (renaming increased tool use)
9b96f6f	0.7900	0:410,1:57,2:20,3:5,4:4,5:2,7:1,8:1	-	0	discard	0030 shorter-message-param: -0.8pp (noise)
d012c85	0.7640	0:377,1:72,2:28,3:5,4:7,5:5,7:1,8:5	-	0	discard	0031 drop-dont-think-too-long: -3.4pp (guard load-bearing)
d0f26c2	0.7820	0:397,1:57,2:26,3:10,4:3,5:4,6:1,8:2	-	0	discard	0032 reorder-directive-first: -1.6pp (order matters)
4dd432a	0.7720	0:500	-	0	anchor	0033 agent-loop NO tool: 0.772; true gap vs 0024 is only +2.6pp added by tool
efbd465	0.7980	0:404,1:80,2:10,3:2,4:2,5:1,8:1	-	0	discard	0034 tool-ack-continue: no effect vs 0024
b886427	0.7440	0:148,1:242,2:102,3:8	-	2302	discard	0035 0011sft + 0024 prompt: SFT + directive hurts (0.744 << base+directive 0.798)
29f19a6	0.8100	0:487,1:12,2:1	-	0	keep	0036 think-step-by-step: NEW BEST 0.810 (+1.2pp); cadence collapsed to 2.6%
1867c8a	0.7840	0:307,1:159,2:21,3:11,5:1,6:1	-	0	discard	0037 cot-no-directive: dropping directive hurt 2.6pp; sparing is load-bearing
7ebe801	0.7640	0:297,1:132,2:30,3:27,4:9,5:5	-	0	discard	0038 cot-soft-tool: -4.6pp; soft framing recovers cadence but loses accuracy
8319121	0.7520	0:500	-	0	anchor	0039 CoT + NO tool: 0.752; tool presence adds +5.8pp on top of CoT
13bb63f	0.7720	0:466,1:31,2:3	-	0	discard	0040 reason-carefully: phrasing matters; -3.8pp
30c6895	0.7940	0:483,1:17	-	0	variance	0041 0036-rerun: 0.794 (vs 0036's 0.810); within noise (eval std ~1.7pp)
2b6678e	0.7940	0:486,1:12,2:1,4:1	-	0	discard	0042 expert-system-prompt: noise; system prompt does nothing on top of 0036
2655cef	0.7920	0:483,1:14,2:3	-	0	discard	0043 lets-think-step-by-step: noise (~0.80 plateau)
39edc7e	0.7900	0:486,1:12,2:1,4:1	-	0	variance	0044 0036-rerun-3: 0.790; 3-sample mean 0.798 ≈ 0024; cadence is the deciding factor → 0024 wins
c5bc8f0	0.8040	0:413,1:49,2:23,3:4,4:5,5:1,6:2,7:1,8:2	-	0	variance	0045 0024-rerun: 0.804 (2-sample mean 0.801) — 0024 confirmed best with healthy cadence
63558b1	0.7940	0:399,1:65,2:20,3:11,4:3,6:1,7:1	-	0	discard	0046 markdown user msg: noise (0.794 within 0024's CI)
7faef8d	0.8000	0:462,1:22,2:10,3:1,4:3,6:1,8:1	-	0	discard	0047 explicit-cadence-target: noise (0.80; cadence slightly recovered to 8%)
992bfa7	0.7780	0:357,1:117,2:17,3:6,4:1,5:1,7:1	-	0	discard	0048 partial-directive: dropped 'for simple problems' sentence; -2pp
f221a91	0.7900	0:407,1:63,2:21,3:4,4:2,5:1,8:2	-	0	variance	0049 0024-rerun-3: 0.790 — 3-sample 0024 mean 0.797±0.007; FINAL: 0024 is converged best
5774a7e	0.7960	0:415,1:48,2:22,3:8,5:4,6:2,8:1	-	0	discard	0050 max-turns-16: no effect (8-cap not binding); reverted
b4313f8	0.8020	0:397,1:69,2:19,3:8,4:3,5:2,8:2	-	0	variance	0051 0024-rerun-4: 0.802; 4-sample mean 0.799±0.006 (CI [0.787, 0.811])
164416f	0.7920	0:379,1:79,2:22,3:6,4:4,5:3,6:4,8:3	-	0	discard	0052 verify-before-final: noise (within 0024 CI)
c6b5cbc	0.7820	0:428,1:3,2:62,3:2,4:2,6:1,8:1,16:1	-	0	discard	0053 quantitative-cadence-2: shape biased to 2 calls but acc within noise
abf5bf0	0.7720	0:407,1:65,2:12,3:7,4:3,5:1,6:1,8:4	-	0	discard	0054 numbered-tool-ack: 'Checkpoint N recorded' instead of 'ok'; slight regression
2194241	0.8000	0:402,1:63,2:20,3:8,4:2,6:2,8:3	-	0	variance	0055 0024-rerun-5: 0.800; 5-sample mean 0.799±0.005, CI [0.789, 0.809]
fe4269f	0.7840	0:469,1:13,2:11,3:2,4:1,5:1,7:1,8:2	-	0	discard	0056 one-shot system example: cadence collapsed; slight regression
19c9415	0.7880	0:403,1:59,2:23,3:4,4:3,5:2,6:1,8:5	-	0	variance	0057 0024-rerun-6: 0.788; 6-sample mean 0.797±0.006
1138460	0.5960	0:431,1:46,2:13,3:6,4:2,5:1,8:1	-	0	discard	0058 half-max-tokens: catastrophic truncation; reverted
6aa0a32	0.8460	0:405,1:58,2:18,3:11,4:3,5:1,7:1,8:3	-	0	keep	0059 max_tokens 12288: NEW BEST 0.846 (+4.7pp); eval cap was binding
869fb56	0.8320	0:403,1:60,2:25,3:6,4:1,5:2,6:1,8:2	-	0	keep	0060 0059 rerun: 0.832; 2-sample mean 0.839 (max_tokens=12288 gain confirmed)
6cc6a58	0.8600	0:404,1:61,2:24,3:4,4:3,5:2,6:1,8:1	-	0	keep	0061 2x-max-tokens: 0.860 (still climbing with max_tokens=16384)
2ae9161	0.8700	0:378,1:77,2:23,3:13,4:1,6:2,7:2,8:4	-	0	keep	0062 3x-max-tokens: 0.870 (+1pp); approaches no-tool baseline 0.880
3f84cf4	0.8660	0:395,1:68,2:23,3:6,4:3,5:3,8:2	-	0	keep	0063 max_tokens 28672: 0.866 (saturated near 0.87; curve flat above 24576)
eba40f1	0.8760	0:477,1:20,2:1,3:2	-	0	discard	0064 cot-prefix + max_tokens=24576: 0.876 BUT cadence degenerate (95.4% 0-call); reverted CoT prefix
1f5126f	0.8620	0:315,1:131,2:32,3:18,4:1,7:1,8:2	-	0	discard	0065 cot-no-suppressor: 0.862 (cadence healthy 63% 0-call but accuracy -0.8pp vs 0062); reverted
bd5edb4	0.8500	0:392,1:61,2:28,3:8,4:3,5:1,6:1,7:2,8:4	-	0	discard	0066 shorter-tool-spec: 0.850 (-2pp vs 0062; verbose spec acts as latent reasoning scaffold)
2e4b25e	0.8560	0:360,1:84,2:28,3:14,4:3,5:2,6:2,7:2,8:5	-	0	discard	0067 verbose-tool-spec: 0.856 (rubric overload; non-monotonic — 0062 wording is at peak)
6cf9d91	0.8560	0:352,1:72,2:45,3:7,4:8,5:6,6:2,7:4,8:4	-	0	discard	0068 drop-dont-think-too-long: 0.856 (anti-rumination guidance was load-bearing); reverted
b54eb86	0.8600	0:382,1:75,2:19,3:12,4:2,5:3,6:1,7:1,8:5	-	0	discard	0069 add-verify-sentence: 0.860 (-1pp; additive verify directive didn't help); reverted
876e025	0.8640	0:395,1:65,2:26,3:6,4:4,5:1,6:2,8:1	-	0	variance	0070 0062 variance rerun: 0.864 (2-sample mean 0.867 ± 0.3pp; corroborates 0062 baseline)
02f1830	0.8540	0:396,1:56,2:20,3:9,4:6,5:3,6:3,7:1,8:6	-	0	discard	0071 directive-reorder: 0.854 (boxed-last hurt; -1.3pp vs 0062 mean, genuine regression); reverted
e40bd07	0.8660	0:439,1:38,2:12,3:4,4:2,5:1,6:2,7:1,8:1	-	0	discard	0072 system-prompt-rubric: 0.866 (parity acc; cadence weaker 87.8% 0-call); reverted
350bb65	0.8580	0:373,1:87,2:26,3:5,4:3,5:2,8:4	-	0	discard	0073 rename-scratchpad: 0.858 (-0.9pp; 'checkpoint' is optimal name); reverted
3c974b5	0.8620	0:401,1:72,2:21,3:4,8:2	-	0	discard	0074 echo-tool-ack: 0.862 (within noise; echo no-op); reverted
134df8d	0.8540	0:405,1:50,2:23,3:12,4:2,5:2,6:2,7:1,8:3	-	0	variance	0075 0062 variance rerun #3: 0.854 (3-sample mean 0.863 ± 0.8pp; wider variance than initially estimated)
77da27f	0.8760	0:301,1:91,2:64,3:31,4:12,18:1	-	0	keep	0076 cot-with-soft-cadence: NEW BEST 0.876 +1.6σ accuracy AND healthy cadence (60% 0-call)
8b627ca	0.8540	0:307,1:74,2:69,3:34,4:11,5:3,6:1,12:1	-	0	variance	0077 0076 variance rerun: 0.854 (2-sample mean 0.865 = parity w/ 0062 mean; cadence 40% tool use confirmed healthier)
5a5d5fc	0.8600	0:292,1:36,2:120,3:36,4:11,5:3,7:2	-	0	discard	0078 0076 minus anti-rumination: 0.860 (within noise; conservative revert)
08281b0	0.8520	0:301,1:82,2:76,3:27,4:7,5:3,6:2,8:1,11:1	-	0	variance	0079 0076 variance #3: 0.852 (3-sample mean 0.861 ± 1.4pp; tied w/ 0062 mean 0.863, wins on cadence)
17956b1	0.8760	0:257,1:25,2:15,3:129,4:55,5:6,6:5,7:1,8:4,9:2,14:1	-	0	keep	0080 cadence-up-2-3: 0.876 cadence peak at 3 calls (51% 0-call); successful cadence shape shift
91353db	0.8680	0:264,1:22,2:13,3:132,4:51,5:6,6:7,7:1,8:2,20:1,24:1	-	0	keep	0081 0080 variance rerun: 0.868 (2-sample mean 0.872; both > 0062 max sample; real ~+1pp signal)
7d87c0a	0.8840	0:256,1:28,2:15,3:132,4:42,5:11,6:9,7:1,8:1,9:1,10:2,11:1,12:1	-	0	keep	0082 0080 variance #3: 0.884 (3-sample mean 0.876; BEATS no-tool baseline 0.880; ~49% tool use)
932fb01	0.8700	0:258,1:18,2:7,3:125,4:63,5:17,6:7,7:4,8:1	-	0	discard	0083 cadence-up-3-4: 0.870 (peak unchanged at 3 calls; numerical anchor saturated at 2-3); reverted
de1e1c0	0.8680	0:294,1:10,2:22,3:121,4:34,5:7,6:5,7:1,8:1,9:4,10:1	-	0	discard	0084 0080-plus-verify: 0.868 (null; verify doesn't compound w/ 0080); reverted
b7864d8	0.8600	0:82,1:8,2:33,3:265,4:60,5:9,6:20,7:4,8:2,9:6,10:3,12:1,14:1,15:3,18:1,24:1,28:1	-	0	discard	0085 imperative-cadence: 0.860 (over-saturated cadence 16% 0-call; sweet spot lost); reverted
099aba3	0.8700	0:265,1:17,2:16,3:147,4:38,5:7,6:5,7:1,8:2,9:1,24:1	-	0	variance	0086 0080 variance #4: 0.870 (4-sample mean 0.8745 ± 0.7pp; within 0.55pp of no-tool baseline 0.880)
0b2d7d9	0.8940	0:189,1:17,2:13,3:204,4:46,5:9,6:12,7:2,8:2,9:3,10:1,16:1,21:1	-	0	keep	0087 cleaner-wording: 0.894 single-sample (+1.4pp vs no-tool baseline; +2σ vs 0080 mean; needs corroboration)
24f2042	0.8620	0:192,1:17,2:11,3:214,4:43,5:13,6:5,7:1,8:2,10:1,24:1	-	0	variance	0088 0087 variance rerun: 0.862 (2-sample mean 0.878 ~= 0080's 0.8745; 0.894 was variance pull)
de0e859	0.8600	0:198,1:14,2:17,3:189,4:55,5:13,6:10,7:3,9:1	-	0	variance	0089 0087 variance #3: 0.860 (3-sample mean 0.872; tied w/ 0080 mean 0.8745, wider variance)
28c2e09	0.8560	0:269,1:34,2:18,3:123,4:38,5:6,6:5,7:5,9:1,10:1	-	0	discard	0090 action-oriented-param: 0.856 (-1.85pp; u-sub example was load-bearing template); reverted
e4e9fff	0.8740	0:213,1:23,2:24,3:159,4:50,5:14,6:7,7:3,9:3,12:2,24:2	-	0	discard	0091 add-second-example: 0.874 (within noise; second example decorative); reverted
97d75fa	0.8780	0:305,1:11,2:11,3:109,4:42,5:13,6:3,7:1,8:1,12:1,15:1,21:1,24:1	-	0	keep	0092 minimal-system-identity: 0.878 (identity-only system prompt; within noise; clean addition)
3c4ec99	0.8760	0:299,1:13,2:20,3:119,4:33,5:10,6:4,8:2	-	0	keep	0093 0092 variance rerun: 0.876 (2-sample mean 0.877; very tight variance 0.1pp std)
cc2662f	0.8620	0:304,1:14,2:11,3:120,4:41,5:7,6:2,7:1	-	0	variance	0094 0092 variance #3: 0.862 (3-sample mean 0.872; ceiling confirmed ~0.872-0.875)
e767b7c	0.8800	0:286,1:9,2:9,3:151,4:36,5:4,6:3,7:1,8:1	-	0	keep	0095 system-prompt-tool-meta: 0.880 (at no-tool baseline; needs corroboration)
ed1a810	0.8740	0:289,1:10,2:13,3:142,4:34,5:5,6:3,8:2,12:1,24:1	-	0	variance	0096 0095 variance rerun: 0.874 (2-sample mean 0.877; tool-meta system neutral)
